flight,start,end,passengers,gate
F0300,7,11,160,9
F0200,9,13,160,0
F0100,12,15,160,8
F0400,14,16,100,11
F0301,15,18,70,8
F0401,18,20,60,8
F0101,19,22,70,9
F0201,20,23,50,8
F0402,21,25,100,3
F0102,24,25,100,12
F0800,9,13,120,1
F0700,12,16,120,9
F0600,13,17,100,1
F0500,14,18,80,0
F0900,18,19,20,10
F0801,20,22,50,2
F0701,21,25,150,0
F0601,21,25,100,5
F0501,22,25,100,9
F0901,23,25,100,8
F1000,8,16,130,10
F1100,10,17,130,2
F1200,12,18,130,3
F1300,13,19,50,4
F1001,16,20,50,5
F1101,17,20,30,2
F1201,19,23,50,4
F1301,20,25,100,10
F1400,20,25,100,11
F1102,20,25,100,1
F1202,24,25,50,2
