algorithm,seed,score,evaluations
GSA,42,8302845.0,1000
BGSA,42,7285593.0,1000
PSO,42,7767483.0,1000
BPSO,42,7795789.0,1000
SKF,42,7796572.0,1000
BSKF,42,7813135.0,1000
GSA,43,8566772.0,1000
BGSA,43,7363126.0,1000
PSO,43,7572689.0,1000
BPSO,43,7813635.0,1000
SKF,43,7896346.0,1000
BSKF,43,7733987.0,1000
GSA,44,8423818.0,1000
BGSA,44,7275182.0,1000
PSO,44,7751792.0,1000
BPSO,44,7859618.0,1000
SKF,44,7913859.0,1000
BSKF,44,8135983.0,1000
GSA,45,8524723.0,1000
BGSA,45,7298742.0,1000
PSO,45,7361625.0,1000
BPSO,45,7859614.0,1000
SKF,45,7863009.0,1000
BSKF,45,7685969.0,1000
GSA,46,8416510.0,1000
BGSA,46,7226214.0,1000
PSO,46,7430370.0,1000
BPSO,46,7587595.0,1000
SKF,46,7655698.0,1000
BSKF,46,7875202.0,1000
